Estados e Capitais;Região;UF;Pessoas;Rede geral;Fossa séptica ligada à rede;Fossa séptica não ligada à rede;Fossa rudimentar;Vala ;Rio lago ou mar ;Outra forma;Sem banheiro
Rondônia;Norte;RO;1841;16.6;12.2;39.1;31.4;0.1;0.5;0;0
Porto Velho;Norte;RO;567;19.4;28.9;38.1;13.2;0.2;0.2;0;0
Acre;Norte;AC;914;37.2;8;22.3;10.8;8.1;8.6;1;3.8
Rio Branco;Norte;AC;431;67.8;13.3;9;3.5;2.8;2.5;0.8;0.4
Amazonas;Norte;AM;4221;38.9;6.6;14.8;24;6.2;7.1;0.7;1.7
Manaus;Norte;AM;2327;64.5;11;14.7;2.6;2;5.2;0;0.1
Roraima;Norte;RR;610;46.3;8.9;30.6;13.5;0.6;;;
Boa Vista;Norte;RR;435;54.3;11.4;25.4;8.8;0.1;;;
Pará;Norte;PA;8902;12.4;8.6;36.4;34.3;4.6;2.3;0.4;0.9
Belém;Norte;PA;1520;27.6;25.4;40.4;1.5;5.1;;;
Amapá;Norte;AM;900;21.4;4.4;36.5;25.7;5.4;6.6;0;0.1
Macapá;Norte;AM;541;27.8;5.8;41.1;21.6;0.3;3.4;0;0
Tocantins;Norte;TO;1627;28;5;8.1;57.3;0.7;0;0.1;0.8
Palmas;Norte;TO;327;70.3;12.9;2.4;14.2;0;0.1;0;0
Maranhão;Nordeste;MA;7192;19.1;7.2;33.5;30.2;5.2;0.5;1.1;3.3
São Luís;Nordeste;MA;1129;55.6;13.5;27.7;0.2;1.7;1.2;0;0.1
Piauí;Nordeste;PI;3303;7.7;5.3;63.2;17.1;1;0.1;0;5.5
Teresina;Nordeste;PI;877;14.6;3.4;81.7;0.2;0;0;0;
Ceará;Nordeste;CE;9339;45.9;9.6;19.1;20.8;2.4;0.4;0.5;1.3
Fortaleza;Nordeste;CE;2726;75.5;7.7;14.2;1.5;0.1;0.7;0.4;
Rio Grande do Norte;Nordeste;RN;3612;30.9;7.5;35.4;22.3;2.6;0.3;0.9;0.1
Natal;Nordeste;RN;909;49.9;10.9;33.3;4.8;0;1.1;0;
Paraíba;Nordeste;PA;4077;46.1;6.5;28.1;14.3;3.5;0.8;0.4;0.4
João Pessoa;Nordeste;PA;842;62;9.1;27.3;0.3;0.1;1.2;;
Pernambuco;Nordeste;PE;9727;56;7.9;15;12.8;4.9;1.8;0.8;0.8
Recife;Nordeste;PE;1675;62.4;9.8;15.6;6;1.8;3.8;0.5;
Alagoas;Nordeste;AL;3384;34.8;8.1;19.5;31.8;3;1.7;0.3;0.9
Maceió;Nordeste;AL;1044;49.3;12.2;26.7;8.3;1;2.5;0;
Sergipe;Nordeste;SE;2376;45.9;3.8;7.7;34.9;4.7;1.7;0.7;0.7
Aracaju;Nordeste;SE;687;83.8;5.5;2.5;3.1;3;1.7;0.4;0
Bahia;Nordeste;BA;15065;52.1;3.7;16.6;22.5;2.2;1.3;0.4;1.1
Salvador;Nordeste;BA;2925;94.8;2.2;1.2;0.2;1.1;0.5;0;0
Minas Gerais;Sudeste;MG;21624;81.7;1.1;3.8;9.6;0.4;3.2;0.1;0.2
Belo Horizonte;Sudeste;MG;2547;98.6;0.4;0;0;0.1;0.9;0;0
Espírito Santo;Sudeste;ES;4190;77.4;2.6;11.1;4.8;1.3;2.7;0;0.1
Vitória;Sudeste;ES;386;99.5;0.2;0;0;0.2;;;
Rio de Janeiro;Sudeste;RJ;17644;81.8;7.3;6.3;0.8;1.9;1.8;0.2;
Rio de Janeiro Capital;Sudeste;RJ;6827;94.6;2.2;0.8;0;1.1;1.2;;
São Paulo;Sudeste;SP;47327;92.2;1.6;2.7;2;0.5;1;;
São Paulo Capital;Sudeste;SP;12531;96.6;0.9;1.3;0.6;0.1;0.4;;
Paraná;Sul;PR;11738;67.3;3.9;13.5;14.8;0.1;0.4;;
Curitiba;Sul;PR;1992;97.8;0.5;1.3;0.2;0.1;0.2;;
Santa Catarina;Sul;SC;7492;38.5;21.5;32.9;6.1;0.5;0.4;0.1;
Florianópolis;Sul;SC;531;60.6;4.5;31.8;1.3;0;1.4;0.4;
Rio Grande do Sul;Sul;RS;11528;46.8;21.4;23.5;6.4;0.9;0.8;0.1;
Porto Alegre;Sul;RS;1500;79;15.4;3.1;0.3;1.4;0.7;;
Mato Grosso do Sul;Centro-Oeste;MS;2824;48.9;7.2;27.8;16.1;;;;
Campo Grande;Centro-Oeste;MS;935;73;2.8;19.6;4.6;;;;
Mato Grosso;Centro-Oeste;MT;3590;32.6;6.6;42.4;18.2;0.1;0.1;0.1;
Cuiabá;Centro-Oeste;MT;633;62.3;16.7;18.3;2.2;0;0.3;0.1;
Goiás;Centro-Oeste;GO;7388;55.1;4.2;18.6;21.9;0.1;0;0.1;
Goiânia;Centro-Oeste;GO;1593;84.8;2;10.2;3;0;0.1;0;
Distrito Federal Brasília;Centro-Oeste;DF;3168;88.3;1.8;8.7;1.1;0;0;0.1;
