Estados e  Capitais;Região;UF;6 a 10 anos - anos iniciais do ensino fundamental;11 a 14 anos - anos finais do ensino fundamental;15 a 17 anos - ensino médio;18 a 24 anos - ensino superior
Rondônia;Norte;RO;89.6;91.2;70.6;25.1
Porto Velho;Norte;RO;88.8;89.8;71.9;27.6
Acre;Norte;AC;88.5;78.4;63.1;24.3
Rio Branco;Norte;AC;90.1;82.7;70.1;30.5
Amazonas;Norte;AM;92.1;87.4;71.5;19.5
Manaus;Norte;AM;92.3;88.3;77.4;26.9
Roraima;Norte;RR;86.1;79;69.8;23.4
Boa Vista;Norte;RR;84.7;80.6;71.5;26.5
Pará;Norte;PA;92.1;83.4;61;20.4
Belém;Norte;PA;87.5;90.3;74.5;32.5
Amapá;Norte;AM;90.9;79.6;66.8;27.5
Macapá;Norte;AM;92.4;82.6;64.9;34.7
Tocantins;Norte;TO;90.9;91.3;75.1;26.4
Palmas;Norte;TO;94.1;91;82.6;42.3
Maranhão;Nordeste;MA;91.7;87.5;71.6;18.6
São Luís;Nordeste;MA;85;91.7;79.2;36.4
Piauí;Nordeste;PI;92.8;86.9;72.2;23.3
Teresina;Nordeste;PI;96.6;92.9;84;37.6
Ceará;Nordeste;CE;91.6;90.9;83.6;24.3
Fortaleza;Nordeste;CE;91.7;89;86;30.7
Rio Grande do Norte;Nordeste;RN;92.9;86.9;62.2;22.3
Natal;Nordeste;RN;93.9;89.6;70.5;32
Paraíba;Nordeste;PA;89.4;85.5;68.3;23.2
João Pessoa;Nordeste;PA;88.4;91;84.4;28.9
Pernambuco;Nordeste;PE;89.8;87.6;72;21.3
Recife;Nordeste;PE;92.4;93.8;74.7;29.4
Alagoas;Nordeste;AL;92.3;87.4;69.8;17.6
Maceió;Nordeste;AL;88.9;87.5;76.3;23.2
Sergipe;Nordeste;SE;90.7;87.5;66;21.8
Aracaju;Nordeste;SE;94.1;83.9;76.5;37.2
Bahia;Nordeste;BA;88.8;85.1;66.4;17.1
Salvador;Nordeste;BA;88.4;86.1;66.1;35.4
Minas Gerais;Sudeste;MG;93.3;93.2;79.3;23.2
Belo Horizonte;Sudeste;MG;95;90.4;78;42.4
Espírito Santo;Sudeste;ES;89.8;88;72.6;26.6
Vitória;Sudeste;ES;96.4;88.4;82.4;52.2
Rio de Janeiro;Sudeste;RJ;88.2;87.2;74.9;28.6
Rio de Janeiro Capital;Sudeste;RJ;89;89.6;79.6;38.8
São Paulo;Sudeste;SP;91.2;92.1;84.6;31.4
São Paulo Capital;Sudeste;SP;92.5;92.5;86;38.7
Paraná;Sul;PR;88.3;90.2;78;31.3
Curitiba;Sul;PR;92.1;93.3;86.9;42
Santa Catarina;Sul;SC;89.9;90.1;72.4;29.2
Florianópolis;Sul;SC;94.4;89.4;83;52.5
Rio Grande do Sul;Sul;RS;93;88.8;70.6;28.4
Porto Alegre;Sul;RS;90.1;84;68.1;38.6
Mato Grosso do Sul;Centro-Oeste;MS;91.6;89.1;70.4;33.7
Campo Grande;Centro-Oeste;MS;92.1;89.8;77.1;42.9
Mato Grosso;Centro-Oeste;MT;86.4;91.6;69.6;22.3
Cuiabá;Centro-Oeste;MT;88.9;89.8;81.1;24
Goiás;Centro-Oeste;GO;90.5;91.4;78.3;26.7
Goiânia;Centro-Oeste;GO;87.7;90.8;80.2;40
Distrito Federal Brasilia;Centro-Oeste;DF;94.3;93.4;78.6;44.3
