Estados e  Capitais;Região;UF;Pessoas;Acesso ao saneamento básico
Rondônia;Norte;RO;1841;22.7
Porto Velho;Norte;RO;567;32.9
Acre;Norte;AC;914;37.8
Rio Branco;Norte;AC;431;66.9
Amazonas;Norte;AM;4221;43.6
Manaus;Norte;AM;2327;72.5
Roraima;Norte;RR;610;54.6
Boa Vista;Norte;RR;435;65.6
Pará;Norte;PA;8902;18.4
Belém;Norte;PA;1520;48.1
Amapá;Norte;AM;900;22.9
Macapá;Norte;AM;541;28.9
Tocantins;Norte;TO;1627;32.4
Palmas;Norte;TO;327;82.4
Maranhão;Nordeste;MA;7192;24.2
São Luís;Nordeste;MA;1129;68.2
Piauí;Nordeste;PI;3303;12
Teresina;Nordeste;PI;877;18
Ceará;Nordeste;CE;9339;53
Fortaleza;Nordeste;CE;2726;81.6
Rio Grande do Norte;Nordeste;RN;3612;37.4
Natal;Nordeste;RN;909;60.8
Paraíba;Nordeste;PA;4077;50.3
João Pessoa;Nordeste;PA;842;70.7
Pernambuco;Nordeste;PE;9727;59.2
Recife;Nordeste;PE;1675;69.4
Alagoas;Nordeste;AL;3384;38.3
Maceió;Nordeste;AL;1044;55.6
Sergipe;Nordeste;SE;2376;49
Aracaju;Nordeste;SE;687;89.1
Bahia;Nordeste;BA;15065;54.2
Salvador;Nordeste;BA;2925;96.4
Minas Gerais;Sudeste;MG;21624;82
Belo Horizonte;Sudeste;MG;2547;98.9
Espírito Santo;Sudeste;ES;4190;78.3
Vitória;Sudeste;ES;386;99.8
Rio de Janeiro;Sudeste;RJ;17644;83.4
Rio de Janeiro Capital;Sudeste;RJ;6827;96
São Paulo;Sudeste;SP;47327;93.2
São Paulo Capital;Sudeste;SP;12531;97.2
Paraná;Sul;PR;11738;70.4
Curitiba;Sul;PR;1992;98.2
Santa Catarina;Sul;SC;7492;58.8
Florianópolis;Sul;SC;531;63.4
Rio Grande do Sul;Sul;RS;11528;66.4
Porto Alegre;Sul;RS;1500;94.4
Mato Grosso do Sul;Centro-Oeste;MS;2824;55.5
Campo Grande;Centro-Oeste;MS;935;75.5
Mato Grosso;Centro-Oeste;MT;3590;37.9
Cuiabá;Centro-Oeste;MT;633;78.8
Goiás;Centro-Oeste;GO;7388;58.3
Goiânia;Centro-Oeste;GO;1593;85.6
Distrito Federal Brasília;Centro-Oeste;DF;3168;89.3
