Estados;Região;UF;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Rondônia;Norte;RO;8.31;8.67;9.1;10.11;11.56;12.32;13.21;13.82;14.31;14.47;15.5;16.79;17.92;19.12
Acre;Norte;AC;9.19;9.74;9.58;9.34;10.39;10.74;10.95;11.31;11.47;11.02;11.57;12.36;12.42;13.63
Amazonas;Norte;AM;8.89;8.68;8.75;8.93;9.67;10.17;10.3;10.41;10.58;10.88;11.37;11.75;12.03;12.45
Roraima;Norte;RR;11.35;10.63;10.36;10.66;12.44;12.74;13.04;13.25;13.54;13.04;14;13.55;13.4;14.8
Pará;Norte;PA;6.27;6.18;6.18;6.54;7.37;7.71;7.94;8.29;8.56;8.55;8.86;9.53;10.2;10.73
Amapá;Norte;AM;8.67;8.57;8.38;8.24;9.45;9.94;10.01;10.03;10.59;10.32;10.86;11.91;13.18;13.93
Tocantins;Norte;TO;9.73;9.71;9.9;10.52;11.88;12.6;13.31;14.02;14.57;14.77;15.61;16.61;17.7;18.81
Maranhão;Nordeste;MA;5.64;5.63;5.86;6.15;6.86;7.12;7.25;7.64;7.96;7.96;8.55;9.12;9.74;10.33
Piauí;Nordeste;PI;8.13;8.29;8.59;9.1;10.11;10.5;10.99;11.56;11.99;12.1;12.48;13.26;14.08;14.92
Ceará;Nordeste;CE;9.24;9.12;9.3;9.82;10.91;11.33;11.62;11.99;12.17;12.28;13.28;14.09;15.08;16.1
Rio Grande do Norte;Nordeste;RN;11.71;11.89;11.89;12.17;13.09;13.49;13.8;14.26;14.62;15.22;15.54;17.04;18.61;19.7
Paraíba;Nordeste;PA;11.18;11.22;11.48;12.1;13.07;13.48;13.79;14.2;14.59;14.92;15.86;16.88;17.88;18.71
Pernambuco;Nordeste;PE;11.76;12.01;12.38;12.91;13.87;14;14.47;14.98;15.38;15.75;16.11;16.93;17.92;18.72
Alagoas;Nordeste;AL;10.23;10.1;10.12;10.55;11.19;11.63;12.05;12.66;13.03;13.33;14.27;15.3;16.44;17.64
Sergipe;Nordeste;SE;12.26;12.23;12.55;13.36;14.53;14.97;15.37;15.8;15.99;16.25;17.1;18.17;19.6;21.09
Bahia;Nordeste;BA;9.78;9.91;9.93;10.25;11.11;11.43;11.77;12.36;12.95;13.27;14.03;14.72;15.55;16.4
Minas Gerais;Sudeste;MG;15.86;16.07;16.4;17.12;18.23;18.88;19.57;20.42;21.23;21.95;22.93;24.04;25.09;26.5
Espírito Santo;Sudeste;ES;16.93;17.27;17.61;18.42;19.7;19.88;20.46;20.89;21.51;22.14;22.82;24.14;25.38;27.04
Rio de Janeiro;Sudeste;RJ;21.93;21.68;22.18;23.08;23.76;23.62;23.93;24.56;24.71;24.95;24.22;25.74;26.97;28.3
São Paulo;Sudeste;SP;20.09;20.35;20.56;21.09;22.06;22.68;23.31;24.18;25.21;26.04;26.52;27.96;29.37;30.91
Paraná;Sul;PR;14.62;14.56;15.02;15.65;16.82;17.32;17.92;18.75;19.71;20.4;21.64;22.98;24.25;25.95
Santa Catarina;Sul;SC;15.2;15.08;15.21;15.78;16.78;17.47;18.2;19.15;20.03;20.87;21.97;23.35;24.52;26.1
Rio Grande do Sul;Sul;RS;17.92;18.22;18.65;19.42;20.83;21.53;22.27;23.18;23.92;24.42;25.44;26.76;27.7;29.07
Mato Grosso do Sul;Centro-Oeste;MS;13.54;13.7;13.97;14.46;15.52;16.01;16.68;17.71;18.39;19.03;20.13;21.09;22.46;23.88
Mato Grosso;Centro-Oeste;MT;10.61;10.43;10.41;10.83;11.63;12.11;12.59;13.34;13.74;14.07;15.14;16.72;17.81;19.05
Goiás;Centro-Oeste;GO;13.48;13.26;13.3;13.84;14.69;15.04;15.28;15.93;16.36;16.66;17.66;18.9;20.32;21.8
Distrito Federal;Centro-Oeste;DF;26.5;27.61;28.02;29.18;30.18;30.62;31.07;30.22;33.19;34.83;36.83;39.26;41.19;42.96
